image_id,top_color,bottom_color,top_type,bottom_type
0974062_jpg.rf.6ccddd529a1f213991ccd6d51ca7fa58.jpg,grey,grey,DRESSES,TROUSERS
0346947_jpg.rf.65d483a02be2d7712e0f040eb7de4198.jpg,silver,black,DRESSES,LOUNGEWEAR
0345686_jpg.rf.bf350e03c209658cbd6c0aaa9c2bfe91.jpg,grey,linen,DRESSES,LOUNGEWEAR
0357485_jpg.rf.f37b3d965d6f633eed1b9d9a3bf614d8.jpg,black,darkslategrey,DRESSES,LOUNGEWEAR
0125325_jpg.rf.f98d32038cc196d050cf16da34d56280.jpg,darkolivegreen,burlywood,DRESSES,TROUSERS
0401300_jpg.rf.24d46372e008bf9fc8f3a042e001e538.jpg,darkslategrey,None,DRESSES,None
0236018_jpg.rf.a4c6d0b53f642f953f0d7864d7c6ba23.jpg,black,None,DRESSES,None
0200455_jpg.rf.d562b796583496582d24fa37c8535268.jpg,darkslategrey,sienna,COATS,TROUSERS
0495979_jpg.rf.9afa9f2b85ce614bb5c2b90f58a24d52.jpg,crimson,goldenrod,DRESSES,TROUSERS
0304584_jpg.rf.4c6a88f35532230dfa557a68481efa44.jpg,darkseagreen,black,JACKETS,TROUSERS
0197609_jpg.rf.c43463e040a250d1c1a669bdc21e69ac.jpg,tan,gainsboro,DRESSES,LOUNGEWEAR
0278306_jpg.rf.6e7864cc4012186614da5f21914b7e90.jpg,lavender,dimgrey,DRESSES,TROUSERS
1009078_jpg.rf.e30a51a77bbff61c1a09b398a9ee6746.jpg,dodgerblue,None,DRESSES,None
0421004_jpg.rf.7522a773002e510f239bddbfd3c91ff7.jpg,darkslategrey,indianred,DRESSES,SHORTS
0163758_jpg.rf.9f44e9424d20eff335914bac2ba8871b.jpg,black,None,COATS,None
0181735_jpg.rf.b8cf361af113cd1fc39799d823550f68.jpg,sienna,saddlebrown,DRESSES,TROUSERS
1081156_jpg.rf.318d141fde4cdb844b07b4dc067a5111.jpg,black,black,DRESSES,LOUNGEWEAR
0471225_jpg.rf.49c122adff74ef161d54c6d5c6253bc9.jpg,darkgrey,None,DRESSES,None
0429103_jpg.rf.8235763560b2adde9bad74275bed1042.jpg,dimgrey,dimgrey,KNITWEAR,TROUSERS
0712273_jpg.rf.50ed20855923ed39c94f20a1c2039381.jpg,maroon,wheat,DRESSES,LOUNGEWEAR
0418651_jpg.rf.bba3515a4234bf9b17388cf4d32dfc0a.jpg,darkgrey,darkgrey,DRESSES,TROUSERS
0498454_jpg.rf.5f7185db0bdc75f3509c157a5b60d862.jpg,midnightblue,darkslategrey,JACKETS,TROUSERS
0497559_jpg.rf.ee543dff55d0bfdb60917102926c254a.jpg,grey,grey,SKIRTS,SHORTS
0387462_jpg.rf.97ee7f1168fef70c7dc75a1c878a4ea6.jpg,darkgrey,sienna,DRESSES,TROUSERS
0706830_jpg.rf.d06c11fcfc07db65c106509ee2c024b0.jpg,silver,silver,TOPS,LOUNGEWEAR
0344205_jpg.rf.197585dcdda549e7580e3602cba70fab.jpg,darkgrey,grey,SKIRTS,TROUSERS
0437850_jpg.rf.8ddb6f6aafec4e3f21f8d566ecbe7dab.jpg,black,floralwhite,DRESSES,TROUSERS
0562707_jpg.rf.26f7ee00e9464f1d1452c128b99d5d43.jpg,gainsboro,None,DRESSES,None
0910916_jpg.rf.89a190ad7469ec8705cec0c2a404766f.jpg,black,black,DRESSES,LOUNGEWEAR
1063659_jpg.rf.51dccc524a7dc24d6779c599a1e4b667.jpg,lavender,None,DRESSES,None
0433349_jpg.rf.29f348ecfaa2de649be1b1e753faa10e.jpg,black,grey,JACKETS,TROUSERS
